
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	47	15.445	3043
1	2	4	40	10	left	left	1	30	15.432	1944
1	3	4	40	10	left	left	1	22	15.581	1412
1	4	4	40	10	left	left	1	20	15.492	1291
1	5	4	40	10	left	left	1	18	15.762	1142
1	6	4	40	10	left	left	1	23	15.829	1453
1	7	4	40	10	left	left	1	19	15.261	1245
1	8	4	40	10	right	right	1	31	15.508	1999
1	9	4	40	10	left	left	1	16	15.094	1060
1	10	4	40	10	left	left	1	49	15.462	3169
1	11	4	40	10	left	left	1	27	15.437	1749
1	12	4	40	10	left	left	1	16	15.34	1043
1	13	4	40	10	right	right	1	31	15.625	1984
1	14	4	40	10	left	left	1	24	15.104	1589
1	15	4	40	10	right	right	1	57	15.389	3704
1	16	4	40	10	right	right	1	28	15.478	1809
1	17	4	40	10	right	right	1	25	15.605	1602
1	18	4	40	10	left	left	1	19	15.46	1229
1	19	4	40	10	right	right	1	18	15.639	1151
1	20	4	40	10	right	right	1	19	15.335	1239
1	21	4	40	10	right	right	1	18	15.293	1177
1	22	4	40	10	left	left	1	32	15.202	2105
1	23	4	40	10	left	left	1	19	15.115	1257
1	24	4	40	10	left	left	1	18	15.693	1147
1	25	4	40	10	left	right	0	72	15.219	4731
1	26	4	40	10	right	right	1	22	15.235	1444
1	27	4	40	10	right	right	1	44	15.395	2858
2	1	4	40	10	left	left	1	19	15.886	1196
2	2	4	40	10	left	left	1	13	15.682	829
2	3	4	40	10	right	right	1	14	16.11	869
2	4	4	40	10	left	left	1	14	15.402	909
2	5	4	40	10	right	right	1	15	15.259	983
2	6	4	40	10	right	right	1	20	15.314	1306
2	7	4	40	10	right	right	1	13	16.129	806
2	8	4	40	10	right	right	1	12	15.365	781
2	9	4	40	10	right	right	1	13	16.03	811
2	10	4	40	10	left	left	1	12	16.26	738
2	11	4	40	10	left	left	1	15	15.641	959
2	12	4	40	10	left	left	1	13	16.209	802
2	13	4	40	10	left	left	1	19	15.82	1201
2	14	4	40	10	left	left	1	12	15.424	778
2	15	4	40	10	left	left	1	13	15.625	832
2	16	4	40	10	left	left	1	15	16.164	928
2	17	4	40	10	left	left	1	62	15.339	4042
2	18	4	40	10	right	right	1	14	16.129	868
2	19	4	40	10	right	right	1	14	15.402	909
2	20	4	40	10	right	right	1	11	16.616	662
2	21	4	40	10	left	left	1	28	15.402	1818
2	22	4	40	10	left	left	1	15	15.091	994
2	23	4	40	10	left	left	1	16	15.414	1038
2	24	4	40	10	left	left	1	14	16.298	859
2	25	4	40	10	left	left	1	13	15.276	851
2	26	4	40	10	left	left	1	65	15.237	4266
2	27	4	40	10	right	right	1	12	15.267	786
2	28	4	40	10	left	left	1	11	16.743	657
2	29	4	40	10	right	right	1	9	15.517	580
2	30	4	40	10	left	left	1	10	15.314	653
2	31	4	40	10	right	right	1	13	16.089	808
2	32	4	40	10	right	right	1	20	15.175	1318
2	33	4	40	10	right	right	1	14	16.018	874
2	34	4	40	10	right	right	1	11	16.105	683
2	35	4	40	10	left	left	1	13	16.27	799
2	36	4	40	10	right	right	1	10	16.502	606
2	37	4	40	10	right	right	1	11	15.131	727
2	38	4	40	10	right	right	1	11	15.537	708
2	39	4	40	10	right	right	1	19	15.115	1257
2	40	4	40	10	left	left	1	11	15.737	699
2	41	4	40	10	left	right	0	7	15.945	439
2	42	4	40	10	right	right	1	20	15.81	1265
3	1	4	40	10	right	right	1	12	15.625	768
3	2	4	40	10	left	left	1	10	15.106	662
3	3	4	40	10	left	right	0	8	15.123	529
3	4	4	40	10	right	right	1	20	15.456	1294
3	5	4	40	10	right	right	1	13	15.495	839
3	6	4	40	10	right	left	0	11	15.493	710
3	7	4	40	10	left	left	1	28	15.704	1783
3	8	4	40	10	right	right	1	17	15.858	1072
3	9	4	40	10	right	right	1	24	15.335	1565
3	10	4	40	10	right	right	1	16	15.519	1031
3	11	4	40	10	left	left	1	10	16.556	604
3	12	4	40	10	left	right	0	19	15.86	1198
3	13	4	40	10	right	right	1	21	15.683	1339
3	14	4	40	10	left	left	1	14	15.086	928
3	15	4	40	10	left	left	1	15	16.251	923
3	16	4	40	10	left	left	1	37	15.34	2412
3	17	4	40	10	left	right	0	23	15.092	1524
3	18	4	40	10	right	right	1	15	16.129	930
3	19	4	40	10	right	right	1	12	15.707	764
3	20	4	40	10	left	left	1	21	15.34	1369
3	21	4	40	10	right	right	1	16	15.64	1023
3	22	4	40	10	left	left	1	11	15.214	723
3	23	4	40	10	right	right	1	11	15.11	728
3	24	4	40	10	left	left	1	14	15.964	877
3	25	4	40	10	right	right	1	17	15.539	1094
3	26	4	40	10	right	right	1	30	15.213	1972
3	27	4	40	10	right	left	0	16	15.489	1033
3	28	4	40	10	right	right	1	11	15.257	721
3	29	4	40	10	right	right	1	13	15.951	815
3	30	4	40	10	right	right	1	11	16.035	686
3	31	4	40	10	right	right	1	10	16.611	602
3	32	4	40	10	left	left	1	11	15.048	731
3	33	4	40	10	right	right	1	8	16.393	488
3	34	4	40	10	right	right	1	19	15.536	1223
3	35	4	40	10	right	right	1	24	15.219	1577
3	36	4	40	10	left	left	1	12	15.894	755
3	37	4	40	10	left	left	1	25	15.461	1617
3	38	4	40	10	right	right	1	12	15.873	756
3	39	4	40	10	left	left	1	10	15.015	666
3	40	4	40	10	left	left	1	27	15.652	1725
4	1	4	40	10	right	right	1	11	15.089	729
4	2	4	40	10	left	left	1	10	15.314	653
4	3	4	40	10	right	right	1	10	16.447	608
4	4	4	40	10	right	right	1	12	16.086	746
4	5	4	40	10	right	right	1	13	16.089	808
4	6	4	40	10	left	left	1	10	15.291	654
4	7	4	40	10	left	right	0	27	15.402	1753
4	8	4	40	10	left	left	1	18	15.887	1133
4	9	4	40	10	left	left	1	12	15.544	772
4	10	4	40	10	left	left	1	12	16.26	738
4	11	4	40	10	right	right	1	19	15.742	1207
4	12	4	40	10	right	right	1	12	15.444	777
4	13	4	40	10	right	right	1	32	15.451	2071
4	14	4	40	10	right	right	1	15	15.674	957
4	15	4	40	10	right	right	1	11	16.369	672
4	16	4	40	10	left	left	1	11	15.919	691
4	17	4	40	10	left	left	1	24	15.8	1519
4	18	4	40	10	right	right	1	11	15.278	720
4	19	4	40	10	right	right	1	12	16.349	734
4	20	4	40	10	left	left	1	9	15.762	571
4	21	4	40	10	right	right	1	9	15.762	571
4	22	4	40	10	right	right	1	11	15.537	708
4	23	4	40	10	left	left	1	8	16.632	481
4	24	4	40	10	right	right	1	9	16.1	559
4	25	4	40	10	left	left	1	10	15.267	655
4	26	4	40	10	right	right	1	11	15.737	699
4	27	4	40	10	right	right	1	9	15.228	591
4	28	4	40	10	right	right	1	9	15.625	576
4	29	4	40	10	left	left	1	10	15.408	649
4	30	4	40	10	right	right	1	8	15.534	515
4	31	4	40	10	right	right	1	10	16.155	619
4	32	4	40	10	left	left	1	10	16.103	621
4	33	4	40	10	right	right	1	15	15.773	951
4	34	4	40	10	right	right	1	10	15.038	665
4	35	4	40	10	right	right	1	9	15.306	588
4	36	4	40	10	right	right	1	8	16.227	493
4	37	4	40	10	left	left	1	11	16.082	684
4	38	4	40	10	right	right	1	8	15.625	512
4	39	4	40	10	right	right	1	8	15.656	511
4	40	4	40	10	left	left	1	10	16.502	606
4	41	4	40	10	right	right	1	9	16.304	552
4	42	4	40	10	right	right	1	12	15.957	752
4	43	4	40	10	left	right	0	9	15.679	574
4	44	4	40	10	left	left	1	27	15.598	1731
4	45	4	40	10	right	right	1	9	15.598	577
4	46	4	40	10	right	right	1	11	15.385	715
4	47	4	40	10	right	right	1	9	15.901	566
4	48	4	40	10	right	left	0	9	15.228	591
4	49	4	40	10	right	right	1	11	15.714	700
4	50	4	40	10	left	left	1	11	16.369	672
4	51	4	40	10	left	right	0	9	15.734	572
5	1	4	40	10	left	left	1	27	15.661	1724
5	2	4	40	10	left	left	1	15	15.48	969
5	3	4	40	10	left	left	1	10	16.75	597
5	4	4	40	10	left	left	1	34	15.192	2238
5	5	4	40	10	left	left	1	10	15.385	650
5	6	4	40	10	right	right	1	9	16.158	557
5	7	4	40	10	right	right	1	11	16.641	661
5	8	4	40	10	left	left	1	11	15.988	688
5	9	4	40	10	right	right	1	9	16.667	540
5	10	4	40	10	left	left	1	13	15.55	836
5	11	4	40	10	left	right	0	8	16.26	492
5	12	4	40	10	right	right	1	11	10.397	1058
5	13	4	40	10	left	left	1	12	15.625	768
5	14	4	40	10	right	right	1	9	16.636	541
5	15	4	40	10	left	left	1	8	15.209	526
5	16	4	40	10	left	left	1	11	16.058	685
5	17	4	40	10	left	left	1	14	15.608	897
