
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	37	15.527	2383
1	2	4	40	10	right	right	1	17	16.008	1062
1	3	4	40	10	right	right	1	17	15.918	1068
1	4	4	40	10	left	left	1	12	15.769	761
1	5	4	40	10	left	left	1	23	15.636	1471
1	6	4	40	10	right	right	1	17	15.302	1111
1	7	4	40	10	left	left	1	20	15.083	1326
1	8	4	40	10	left	left	1	23	15.52	1482
1	9	4	40	10	left	left	1	34	15.322	2219
1	10	4	40	10	left	left	1	28	15.642	1790
1	11	4	40	10	right	right	1	15	15.94	941
1	12	4	40	10	left	left	1	17	15.511	1096
1	13	4	40	10	right	right	1	16	15.92	1005
1	14	4	40	10	left	left	1	11	15.089	729
1	15	4	40	10	left	right	0	39	15.294	2550
1	16	4	40	10	right	right	1	17	15.525	1095
1	17	4	40	10	right	right	1	35	15.535	2253
1	18	4	40	10	left	left	1	14	15.891	881
1	19	4	40	10	left	left	1	15	15.873	945
1	20	4	40	10	left	left	1	36	15.544	2316
1	21	4	40	10	right	right	1	12	15.915	754
1	22	4	40	10	left	left	1	14	15.642	895
1	23	4	40	10	right	right	1	23	15.293	1504
1	24	4	40	10	left	left	1	11	15.603	705
1	25	4	40	10	left	left	1	39	15.294	2550
1	26	4	40	10	right	right	1	13	15.312	849
1	27	4	40	10	right	right	1	29	15.483	1873
1	28	4	40	10	left	left	1	26	15.663	1660
1	29	4	40	10	left	right	0	14	15.334	913
1	30	4	40	10	left	left	1	28	15.102	1854
1	31	4	40	10	right	right	1	14	15.217	920
1	32	4	40	10	right	right	1	13	16.069	809
1	33	4	40	10	right	right	1	29	15.167	1912
1	34	4	40	10	left	left	1	15	15.322	979
2	1	4	40	10	left	left	1	28	15.102	1854
2	2	4	40	10	left	left	1	28	15.495	1807
2	3	4	40	10	right	right	1	15	15.89	944
2	4	4	40	10	right	right	1	22	15.342	1434
2	5	4	40	10	left	left	1	14	15.201	921
2	6	4	40	10	right	right	1	20	15.686	1275
2	7	4	40	10	right	right	1	14	15.66	894
2	8	4	40	10	left	left	1	13	15.366	846
2	9	4	40	10	right	right	1	11	15.85	694
2	10	4	40	10	right	right	1	17	15.26	1114
2	11	4	40	10	left	left	1	10	15.408	649
2	12	4	40	10	left	left	1	19	15.472	1228
2	13	4	40	10	left	left	1	11	15.342	717
2	14	4	40	10	left	right	0	36	15.19	2370
2	15	4	40	10	right	right	1	15	16.216	925
2	16	4	40	10	left	left	1	16	15.399	1039
2	17	4	40	10	right	right	1	13	15.7	828
2	18	4	40	10	left	left	1	17	15.568	1092
2	19	4	40	10	left	left	1	16	15.717	1018
2	20	4	40	10	right	right	1	16	15.905	1006
2	21	4	40	10	right	right	1	16	15.595	1026
2	22	4	40	10	right	right	1	14	16.073	871
2	23	4	40	10	left	left	1	15	15.641	959
2	24	4	40	10	right	right	1	14	16.166	866
2	25	4	40	10	right	right	1	20	15.504	1290
2	26	4	40	10	right	right	1	18	15.557	1157
2	27	4	40	10	right	right	1	15	15.56	964
2	28	4	40	10	right	right	1	12	15.326	783
2	29	4	40	10	right	right	1	14	15.385	910
2	30	4	40	10	left	left	1	17	15.992	1063
2	31	4	40	10	right	right	1	12	16.194	741
2	32	4	40	10	right	right	1	15	15.991	938
2	33	4	40	10	right	right	1	14	15.402	909
2	34	4	40	10	left	left	1	10	15.873	630
2	35	4	40	10	left	left	1	12	16.107	745
2	36	4	40	10	left	left	1	13	16.291	798
2	37	4	40	10	left	right	0	18	15.345	1173
2	38	4	40	10	right	right	1	12	16.26	738
2	39	4	40	10	left	left	1	13	16.27	799
2	40	4	40	10	left	left	1	14	15.251	918
2	41	4	40	10	left	left	1	15	16.026	936
2	42	4	40	10	right	right	1	15	15.213	986
3	1	4	40	10	left	left	1	31	15.218	2037
3	2	4	40	10	right	right	1	14	15.695	892
3	3	4	40	10	right	right	1	19	15.664	1213
3	4	4	40	10	right	right	1	14	15.801	886
3	5	4	40	10	right	right	1	16	15.282	1047
3	6	4	40	10	right	left	0	21	15.396	1364
3	7	4	40	10	right	right	1	26	15.495	1678
3	8	4	40	10	right	right	1	15	15.707	955
3	9	4	40	10	right	left	0	12	15.345	782
3	10	4	40	10	left	left	1	12	16.086	746
3	11	4	40	10	left	right	0	10	15.873	630
3	12	4	40	10	left	left	1	21	15.206	1381
3	13	4	40	10	left	left	1	27	15.455	1747
3	14	4	40	10	right	right	1	14	15.873	882
3	15	4	40	10	left	left	1	15	15.839	947
3	16	4	40	10	left	right	0	52	15.272	3405
3	17	4	40	10	right	right	1	15	15.306	980
3	18	4	40	10	right	right	1	12	15.645	767
3	19	4	40	10	left	left	1	9	15.491	581
3	20	4	40	10	left	left	1	46	15.222	3022
3	21	4	40	10	left	left	1	16	15.656	1022
3	22	4	40	10	left	left	1	12	15.113	794
3	23	4	40	10	left	left	1	13	15.33	848
3	24	4	40	10	left	left	1	11	16.743	657
3	25	4	40	10	left	left	1	11	15.363	716
3	26	4	40	10	left	left	1	11	15.11	728
3	27	4	40	10	left	left	1	11	15.172	725
3	28	4	40	10	right	right	1	11	15.759	698
3	29	4	40	10	left	left	1	10	16.502	606
3	30	4	40	10	left	left	1	11	16.591	663
3	31	4	40	10	right	right	1	11	16.129	682
3	32	4	40	10	left	left	1	11	15.493	710
3	33	4	40	10	left	left	1	18	15.28	1178
3	34	4	40	10	right	right	1	18	15.267	1179
3	35	4	40	10	right	right	1	10	16.367	611
3	36	4	40	10	right	right	1	14	15.267	917
3	37	4	40	10	right	right	1	13	15.815	822
3	38	4	40	10	right	right	1	22	15.748	1397
3	39	4	40	10	left	left	1	11	15.214	723
3	40	4	40	10	right	right	1	13	16.089	808
4	1	4	40	10	left	left	1	20	15.835	1263
4	2	4	40	10	left	left	1	11	16.517	666
4	3	4	40	10	left	left	1	9	15.929	565
4	4	4	40	10	right	right	1	9	15.679	574
4	5	4	40	10	left	left	1	8	15.656	511
4	6	4	40	10	right	left	0	7	16.908	414
4	7	4	40	10	right	left	0	9	15.411	584
4	8	4	40	10	left	right	0	15	16.199	926
4	9	4	40	10	right	right	1	10	16.129	620
4	10	4	40	10	right	right	1	11	15.493	710
4	11	4	40	10	left	left	1	12	15.584	770
4	12	4	40	10	left	left	1	16	15.385	1040
4	13	4	40	10	left	left	1	25	15.576	1605
4	14	4	40	10	right	right	1	12	15.287	785
4	15	4	40	10	left	left	1	11	16.591	663
4	16	4	40	10	right	right	1	11	16.517	666
4	17	4	40	10	left	left	1	11	15.515	709
4	18	4	40	10	right	right	1	12	15.915	754
4	19	4	40	10	left	left	1	13	15.205	855
4	20	4	40	10	left	right	0	24	15.316	1567
4	21	4	40	10	right	right	1	32	15.333	2087
4	22	4	40	10	right	right	1	32	15.348	2085
4	23	4	40	10	right	right	1	23	15.743	1461
4	24	4	40	10	left	left	1	14	15.837	884
4	25	4	40	10	left	left	1	53	15.278	3469
4	26	4	40	10	right	right	1	12	15.464	776
4	27	4	40	10	left	left	1	10	14.925	670
4	28	4	40	10	left	left	1	17	15.726	1081
4	29	4	40	10	left	left	1	19	15.435	1231
4	30	4	40	10	right	right	1	11	16.768	656
4	31	4	40	10	left	left	1	27	15.237	1772
4	32	4	40	10	left	left	1	12	15.248	787
4	33	4	40	10	right	right	1	12	15.936	753
4	34	4	40	10	right	right	1	15	15.259	983
4	35	4	40	10	right	right	1	19	16.02	1186
4	36	4	40	10	right	right	1	15	16.112	931
4	37	4	40	10	right	right	1	19	15.46	1229
4	38	4	40	10	right	right	1	15	15.136	991
4	39	4	40	10	right	right	1	34	15.49	2195
4	40	4	40	10	left	left	1	19	15.98	1189
5	1	4	40	10	left	tooFast	2	3	18.75	160
5	2	4	40	10	left	left	1	12	15.894	755
5	3	4	40	10	left	right	0	9	16.275	553
5	4	4	40	10	right	right	1	11	15.85	694
5	5	4	40	10	left	left	1	15	15.723	954
5	6	4	40	10	left	left	1	9	15.491	581
5	7	4	40	10	right	right	1	8	15.209	526
5	8	4	40	10	left	left	1	7	16.627	421
5	9	4	40	10	left	left	1	8	16.327	490
5	10	4	40	10	left	left	1	7	15.317	457
5	11	4	40	10	right	right	1	8	15.18	527
5	12	4	40	10	left	left	1	8	16.985	471
5	13	4	40	10	right	right	1	7	15.184	461
5	14	4	40	10	left	left	1	7	16.706	419
5	15	4	40	10	left	left	1	8	15.625	512
5	16	4	40	10	left	left	1	7	15.945	439
5	17	4	40	10	right	right	1	7	16.627	421
5	18	4	40	10	left	right	0	8	16.632	481
5	19	4	40	10	left	left	1	10	16.556	604
5	20	4	40	10	left	left	1	6	16.043	374
5	21	4	40	10	right	left	0	7	15.284	458
5	22	4	40	10	right	right	1	19	15.176	1252
5	23	4	40	10	left	left	1	9	15.228	591
5	24	4	40	10	right	right	1	6	15.306	392
5	25	4	40	10	left	left	1	7	16.055	436
5	26	4	40	10	right	right	1	7	16.471	425
5	27	4	40	10	left	right	0	9	15.679	574
5	28	4	40	10	left	right	0	10	16.367	611
5	29	4	40	10	right	right	1	12	15.748	762
5	30	4	40	10	right	right	1	9	15.845	568
5	31	4	40	10	left	left	1	9	16.071	560
5	32	4	40	10	right	right	1	10	16.835	594
5	33	4	40	10	left	left	1	6	17.341	346
5	34	4	40	10	right	right	1	7	16.018	437
5	35	4	40	10	left	left	1	7	15.251	459
5	36	4	40	10	right	right	1	7	15.59	449
5	37	4	40	10	left	left	1	7	16.279	430
5	38	4	40	10	right	right	1	7	15.487	452
5	39	4	40	10	left	left	1	8	16.097	497
5	40	4	40	10	right	right	1	7	15.351	456
5	41	4	40	10	left	left	1	7	15.695	446
5	42	4	40	10	right	right	1	7	16.99	412
5	43	4	40	10	left	left	1	8	16.913	473
5	44	4	40	10	right	right	1	6	15.345	391
5	45	4	40	10	right	left	0	7	16.706	419
5	46	4	40	10	right	right	1	9	16.636	541
5	47	4	40	10	left	left	1	8	16.495	485
5	48	4	40	10	right	right	1	7	15.217	460
5	49	4	40	10	right	left	0	10	15.974	626
5	50	4	40	10	right	right	1	8	16.36	489
5	51	4	40	10	left	left	1	11	16.768	656
5	52	4	40	10	right	right	1	9	16.949	531
5	53	4	40	10	left	left	1	8	15.267	524
5	54	4	40	10	right	right	1	9	15.332	587
5	55	4	40	10	left	left	1	10	16.34	612
5	56	4	40	10	right	right	1	10	16.502	606
5	57	4	40	10	right	left	0	9	16.791	536
5	58	4	40	10	right	right	1	12	15.524	773
5	59	4	40	10	left	left	1	9	16.216	555
5	60	4	40	10	left	left	1	10	16.155	619
6	1	4	40	10	right	right	1	12	16.304	736
6	2	4	40	10	right	left	0	6	15.789	380
6	3	4	40	10	left	right	0	7	15.73	445
6	4	4	40	10	right	right	1	10	16.26	615
6	5	4	40	10	right	right	1	9	16.275	553
6	6	4	40	10	right	right	1	8	15.81	506
6	7	4	40	10	left	left	1	7	15.086	464
6	8	4	40	10	right	right	1	8	17.021	470
6	9	4	40	10	left	left	1	7	16.317	429
6	10	4	40	10	right	right	1	11	16.717	658
6	11	4	40	10	left	left	1	8	17.058	469
6	12	4	40	10	right	right	1	7	14.989	467
6	13	4	40	10	left	left	1	6	14.963	401
6	14	4	40	10	right	right	1	7	15.152	462
6	15	4	40	10	right	right	1	7	17.327	404
6	16	4	40	10	right	right	1	6	16.667	360
6	17	4	40	10	right	right	1	7	14.957	468
6	18	4	40	10	left	left	1	7	16.129	434
6	19	4	40	10	left	left	1	9	16.334	551
6	20	4	40	10	right	left	0	9	16.1	559
6	21	4	40	10	right	right	1	10	15.723	636
6	22	4	40	10	left	left	1	14	15.784	887
6	23	4	40	10	right	right	1	10	16.26	615
6	24	4	40	10	right	right	1	9	15.177	593
6	25	4	40	10	right	right	1	11	15.406	714
6	26	4	40	10	left	left	1	10	16.26	615
6	27	4	40	10	left	left	1	9	16.76	537
6	28	4	40	10	left	left	1	8	15.842	505
6	29	4	40	10	left	right	0	10	15.848	631
6	30	4	40	10	left	left	1	15	15.641	959
6	31	4	40	10	right	left	0	6	18.237	329
6	32	4	40	10	left	left	1	10	15.798	633
6	33	4	40	10	left	right	0	8	16.842	475
6	34	4	40	10	right	right	1	10	15.456	647
6	35	4	40	10	right	right	1	10	15.974	626
6	36	4	40	10	right	right	1	7	15.217	460
6	37	4	40	10	right	right	1	8	15.564	514
6	38	4	40	10	right	right	1	8	15.355	521
6	39	4	40	10	left	right	0	7	15.351	456
6	40	4	40	10	left	left	1	12	16.238	739
6	41	4	40	10	left	left	1	8	16.667	480
6	42	4	40	10	left	left	1	7	15.945	439
6	43	4	40	10	left	right	0	7	15.766	444
6	44	4	40	10	right	left	0	6	16.713	359
6	45	4	40	10	right	right	1	9	15.652	575
6	46	4	40	10	right	right	1	15	15.369	976
6	47	4	40	10	right	right	1	7	15.521	451
6	48	4	40	10	left	left	1	11	15.257	721
6	49	4	40	10	left	right	0	12	16.327	735
6	50	4	40	10	right	left	0	8	15.873	504
6	51	4	40	10	left	left	1	13	15.55	836
6	52	4	40	10	right	right	1	8	15.296	523
6	53	4	40	10	right	left	0	8	15.296	523
6	54	4	40	10	right	right	1	11	15.299	719
6	55	4	40	10	right	right	1	13	15.854	820
6	56	4	40	10	left	right	0	7	15.837	442
7	1	4	40	10	right	right	1	13	15.348	847
7	2	4	40	10	right	right	1	8	16.427	487
7	3	4	40	10	left	left	1	9	15.464	582
7	4	4	40	10	right	right	1	7	15.119	463
7	5	4	40	10	right	right	1	8	17.058	469
7	6	4	40	10	right	right	1	8	15.748	508
7	7	4	40	10	left	left	1	9	15.544	579
7	8	4	40	10	left	right	0	7	15.766	444
7	9	4	40	10	right	right	1	8	17.021	470
7	10	4	40	10	left	right	0	9	16.636	541
7	11	4	40	10	right	left	0	9	16.484	546
7	12	4	40	10	left	left	1	9	16.334	551
7	13	4	40	10	left	left	1	7	15.945	439
7	14	4	40	10	left	right	0	7	16.055	436
7	15	4	40	10	right	right	1	17	15.192	1119
7	16	4	40	10	right	right	1	9	16.854	534
7	17	4	40	10	right	left	0	8	16.736	478
7	18	4	40	10	left	right	0	7	15.054	465
7	19	4	40	10	right	right	1	18	15.571	1156
7	20	4	40	10	left	left	1	9	15.306	588
7	21	4	40	10	left	right	0	9	15.28	589
7	22	4	40	10	left	left	1	8	16.293	491
7	23	4	40	10	left	left	1	12	15.769	761
7	24	4	40	10	left	left	1	9	15.873	567
7	25	4	40	10	right	right	1	10	15.649	639
7	26	4	40	10	left	left	1	9	16.245	554
7	27	4	40	10	right	right	1	11	15.737	699
7	28	4	40	10	right	right	1	12	15.645	767
7	29	4	40	10	left	left	1	10	16.779	596
7	30	4	40	10	right	left	0	9	16.393	549
7	31	4	40	10	right	right	1	13	15.569	835
7	32	4	40	10	left	left	1	16	15.355	1042
7	33	4	40	10	left	left	1	24	15.635	1535
7	34	4	40	10	left	right	0	9	16.043	561
7	35	4	40	10	right	right	1	10	15.873	630
7	36	4	40	10	left	left	1	9	16.544	544
7	37	4	40	10	left	left	1	15	15.121	992
7	38	4	40	10	right	right	1	11	15.048	731
7	39	4	40	10	right	right	1	9	15.845	568
7	40	4	40	10	left	right	0	13	16.23	801
7	41	4	40	10	right	left	0	8	15.748	508
7	42	4	40	10	right	right	1	9	16.544	544
7	43	4	40	10	right	right	1	11	16.768	656
7	44	4	40	10	right	right	1	10	16.584	603
7	45	4	40	10	left	right	0	9	16.886	533
7	46	4	40	10	left	left	1	21	15.602	1346
7	47	4	40	10	right	right	1	10	16.26	615
7	48	4	40	10	left	right	0	9	16.275	553
7	49	4	40	10	left	left	1	11	15.152	726
7	50	4	40	10	right	right	1	12	15.894	755
7	51	4	40	10	right	right	1	17	15.858	1072
8	1	4	40	10	left	right	0	11	15.737	699
8	2	4	40	10	left	right	0	12	15.707	764
8	3	4	40	10	right	right	1	10	16.502	606
8	4	4	40	10	right	right	1	10	16.026	624
8	5	4	40	10	left	left	1	7	15.021	466
8	6	4	40	10	right	left	0	7	17.115	409
8	7	4	40	10	right	right	1	11	15.428	713
8	8	4	40	10	right	left	0	9	16.886	533
8	9	4	40	10	right	right	1	12	15.584	770
8	10	4	40	10	left	left	1	15	16.181	927
8	11	4	40	10	left	left	1	10	15.601	641
8	12	4	40	10	right	right	1	11	16.667	660
8	13	4	40	10	right	right	1	9	16.1	559
8	14	4	40	10	right	right	1	12	15.625	768
8	15	4	40	10	left	left	1	10	15.898	629
8	16	4	40	10	left	right	0	19	15.728	1208
8	17	4	40	10	right	right	1	13	15.222	854
8	18	4	40	10	right	right	1	10	16.722	598
8	19	4	40	10	left	left	1	11	15.131	727
8	20	4	40	10	right	right	1	12	16.216	740
8	21	4	40	10	left	left	1	15	16.009	937
8	22	4	40	10	left	left	1	14	15.301	915
8	23	4	40	10	left	left	1	9	16.886	533
8	24	4	40	10	right	right	1	12	16.021	749
8	25	4	40	10	left	right	0	8	15.81	506
8	26	4	40	10	right	right	1	10	16.077	622
8	27	4	40	10	right	right	1	12	15.625	768
8	28	4	40	10	left	left	1	15	15.924	942
8	29	4	40	10	right	left	0	8	15.625	512
8	30	4	40	10	right	right	1	10	16.34	612
8	31	4	40	10	left	left	1	8	15.444	518
8	32	4	40	10	left	left	1	9	16.364	550
8	33	4	40	10	right	right	1	11	15.32	718
8	34	4	40	10	left	left	1	7	15.801	443
8	35	4	40	10	left	right	0	9	15.625	576
8	36	4	40	10	right	right	1	24	15.326	1566
8	37	4	40	10	left	left	1	8	16.667	480
